
cipher -->  Rotor: 100200300 --> vxvwvgaxsgneiciprmvtwlfmfqgivinpiishinuoczzshxxhmvkaouubupfqmzppa --> Plugs:['ns', 'dv', 'gt', 'em', 'fy'] --->  hadmdtyxntreipicredgwlyoyftidispjinoisuocbzshmxhedtaooubupazjipim['1', '0', '2', '0', '3', '0', 'vxvwvgaxsgneiciprmvtwlfmfqgivinpiishinuoczzshxxhmvkaouubupfqmzppa']-----> Plugs: ['ns', 'dv', 'gt', 'em', 'fy']  --> String: hadmdtyxntreipicredgwlyoyftidispjinoisuocbzshmxhedtaooubupazjipim
cipher -->  Rotor: 100200301 --> gazhhytdomeyiqdquvqsqrfmgjgmtnsorinkzsoctzfqlactvieadzvfuqpjorypb --> Plugs:['et', 'pq', 'wz', 'dn', 'gl'] --->  vowhtyenoytyineorypspromlylmedforidazsocrmfugacezitanwifupacohyqb['1', '0', '2', '0', '3', '1', 'gazhhytdomeyiqdquvqsqrfmgjgmtnsorinkzsoctzfqlactvieadzvfuqpjorypb']-----> Plugs: ['et', 'pq', 'wz', 'dn', 'gl']  --> String: vowhtyenoytyineorypspromlylmedforidazsocrmfugacezitanwifupacohyqb
cipher -->  Rotor: 100200302 --> amuggxigtuaxeycbzykmwbegotlivkonwayqmknyhmzcevrmbydxooaviyfrrvcbp --> Plugs:['ro', 'lx', 'qz', 'ms', 'bh'] --->  asugilegisakeythqyfswhegrteivkwnndezskpybsuceiosmelkrrdvxgfoovshp['1', '0', '2', '0', '3', '2', 'amuggxigtuaxeycbzykmwbegotlivkonwayqmknyhmzcevrmbydxooaviyfrrvcbp']-----> Plugs: ['ro', 'lx', 'qz', 'ms', 'bh']  --> String: asugilegisakeythqyfswhegrteivkwnndezskpybsuceiosmelkrrdvxgfoovshp
cipher -->  Rotor: 100200303 --> bsxpawjhqwiadmyscssewnnoimwivdagcgcdoilneqzjxttxrkxzolpzhjfkxilus --> Plugs:['es', 'bf', 'ho', 'nx', 'kl'] --->  venpawnokeradmyecerspxxhiowivdagcehthiedshuenktnrcnghkezeubpniauh['1', '0', '2', '0', '3', '3', 'bsxpawjhqwiadmyscssewnnoimwivdagcgcdoilneqzjxttxrkxzolpzhjfkxilus']-----> Plugs: ['es', 'bf', 'ho', 'nx', 'kl']  --> String: venpawnokeradmyecerspxxhiowivdagcehthiedshuenktnrcnghkezeubpniauh
cipher -->  Rotor: 100200304 --> jjjdcvyrjxwjdwrvyzfblzotbxplbwjllsmrlulrzqyoxfdpcenbwcbdomksjpvuo --> Plugs:['ai', 'be', 'hv', 'jw', 'dn'] --->  zwwrchyumxjwnjrhodftlzoeevplisweltmunherllyrsfulcedejcenmmofaktoo['1', '0', '2', '0', '3', '4', 'jjjdcvyrjxwjdwrvyzfblzotbxplbwjllsmrlulrzqyoxfdpcenbwcbdomksjpvuo']-----> Plugs: ['ai', 'be', 'hv', 'jw', 'dn']  --> String: zwwrchyumxjwnjrhodftlzoeevplisweltmunherllyrsfulcedejcenmmofaktoo
cipher -->  Rotor: 100200305 --> xywzzenkxktpjbxuklhfowcdmwjamyhcfjaipyylffaztifvjdydzfoxwwyihyhjr --> Plugs:['en', 'rx', 'lz', 'it', 'gj'] --->  bpwllnekreipgayckzjrowcdmaparyhefghipryzfdidttevgdydlftrwmyhhyhgx['1', '0', '2', '0', '3', '5', 'xywzzenkxktpjbxuklhfowcdmwjamyhcfjaipyylffaztifvjdydzfoxwwyihyhjr']-----> Plugs: ['en', 'rx', 'lz', 'it', 'gj']  --> String: bpwllnekreipgayckzjrowcdmaparyhefghipryzfdidttevgdydlftrwmyhhyhgx
cipher -->  Rotor: 100200306 --> kuujgpgqtyuuhswwfxjmvvdfmvuwaennzlamxfuggxbfhdfrhvolxbmojlmctvzdx --> Plugs:['in', 'em', 'cv', 'sw', 'jo'] --->  oukegilqtyupewsstbomccdeequsyminblaclsugckbueterhcqexbesoleemczox['1', '0', '2', '0', '3', '6', 'kuujgpgqtyuuhswwfxjmvvdfmvuwaennzlamxfuggxbfhdfrhvolxbmojlmctvzdx']-----> Plugs: ['in', 'em', 'cv', 'sw', 'jo']  --> String: oukegilqtyupewsstbomccdeequsyminblaclsugckbueterhcqexbesoleemczox
cipher -->  Rotor: 100200307 --> kmxjaxajwmdttciyorrjpbghocywfxnrhzbxjcuoksbqhxwjnvkkxdknnhzqbiyad --> Plugs:['ao', 'ik', 'lx', 'ey', 'dj'] --->  bmldoloswhjttckearhyrbghacewvunghzaldeudisiqjlstnviellennteqbheoj['1', '0', '2', '0', '3', '7', 'kmxjaxajwmdttciyorrjpbghocywfxnrhzbxjcuoksbqhxwjnvkkxdknnhzqbiyad']-----> Plugs: ['ao', 'ik', 'lx', 'ey', 'dj']  --> String: bmldoloswhjttckearhyrbghacewvunghzaldeudisiqjlstnviellennteqbheoj
cipher -->  Rotor: 100200308 --> hqtkbvylkarrfwuuvuhwozqsaftjmbltphoskgjifrcisfapjtnpiphxxwybnegyo --> Plugs:['et', 'jv', 'gh', 'dp', 'cw'] --->  fiufblylearrzsuilkgcozmyafevobledgosittinrwisfddvendidgtxchbexhto['1', '0', '2', '0', '3', '8', 'hqtkbvylkarrfwuuvuhwozqsaftjmbltphoskgjifrcisfapjtnpiphxxwybnegyo']-----> Plugs: ['et', 'jv', 'gh', 'dp', 'cw']  --> String: fiufblylearrzsuilkgcozmyafevobledgosittinrwisfddvendidgtxchbexhto
cipher -->  Rotor: 100200309 --> gwhhoylqycqghvncaxenermwmsfaufwsttatboavvxaykrffawpvzimkfoieimhdj --> Plugs:['at', 'fi', 'mn', 'pv', 'ch'] --->  gwhbowldahowhjmhtxeterdtneitugwmeatsboappitxgristwapzfnnioftincik['1', '0', '2', '0', '3', '9', 'gwhhoylqycqghvncaxenermwmsfaufwsttatboavvxaykrffawpvzimkfoieimhdj']-----> Plugs: ['at', 'fi', 'mn', 'pv', 'ch']  --> String: gwhbowldahowhjmhtxeterdtneitugwmeatsboappitxgristwapzfnnioftincik
cipher -->  Rotor: 100200310 --> xdzzhkqlrxaomaddqutkljwjnfknbkjklmyqqgrcmpuorkrqfeinfxhhrckjyrkwq --> Plugs:['er', 'cx', 'av', 'kl', 'gu'] --->  uistheqneovoovdeqgulliwnmftbbxjlkmsqquermptoelewfrintcitecljpelzq['1', '0', '2', '0', '3', '10', 'xdzzhkqlrxaomaddqutkljwjnfknbkjklmyqqgrcmpuorkrqfeinfxhhrckjyrkwq']-----> Plugs: ['er', 'cx', 'av', 'kl', 'gu']  --> String: uistheqneovoovdeqgulliwnmftbbxjlkmsqquermptoelewfrintcitecljpelzq
cipher -->  Rotor: 100200311 --> gxzhhyoqcyqjhfdwyxjvlrcdbqjabfefljttlnqcgxafaekvhoqdzcmowlkjjrhdr --> Plugs:['ao', 'cj', 'nq', 'pw', 'gi'] --->  isthewaljyncdfddezcrlredbqcoqilrlctogunjqforhehpyangzjmgplkzcrhdr['1', '0', '2', '0', '3', '11', 'gxzhhyoqcyqjhfdwyxjvlrcdbqjabfefljttlnqcgxafaekvhoqdzcmowlkjjrhdr']-----> Plugs: ['ao', 'cj', 'nq', 'pw', 'gi']  --> String: isthewaljyncdfddezcrlredbqcoqilrlctogunjqforhehpyangzjmgplkzcrhdr
cipher -->  Rotor: 100200312 --> mypfmtnxqgmuqbsefmmemhtqfrvvllxgcnuaxtktjdrsziihpzywcbueakgztfzza --> Plugs:['in', 'rx', 'lq', 'ju', 'fh'] --->  myphetirtoajlbsehmasmatlmeawaqhucinorldtuprbgnrfxzywibxeadgethzzm['1', '0', '2', '0', '3', '12', 'mypfmtnxqgmuqbsefmmemhtqfrvvllxgcnuaxtktjdrsziihpzywcbueakgztfzza']-----> Plugs: ['in', 'rx', 'lq', 'ju', 'fh']  --> String: myphetirtoajlbsehmasmatlmeawaqhucinorldtuprbgnrfxzywibxeadgethzzm
cipher -->  Rotor: 100200313 --> ppnqeldyffgzudhdthtorqjckdohkobjeeceelgumtiwdjtdfucikathpcbocclch --> Plugs:['io', 'gu', 'jv', 'mp', 'ds'] --->  monpeldyffungshwthtorrellsioribbqeceesugptowanosfgnitathmcqidhlnh['1', '0', '2', '0', '3', '13', 'ppnqeldyffgzudhdthtorqjckdohkobjeeceelgumtiwdjtdfucikathpcbocclch']-----> Plugs: ['io', 'gu', 'jv', 'mp', 'ds']  --> String: monpeldyffungshwthtorrellsioribbqeceesugptowanosfgnitathmcqidhlnh
cipher -->  Rotor: 100200314 --> xjtzbregyazxagknzyynyyegqslknupsjailmonsskwieqbkumtxeoasiajurevqe --> Plugs:['an', 'lz', 'my', 'dq', 'jo'] --->  xotlaresmmlzngfalmmammegdwzkemfsenityoasswwvedadbyldenesinlprwvde['1', '0', '2', '0', '3', '14', 'xjtzbregyazxagknzyynyyegqslknupsjailmonsskwieqbkumtxeoasiajurevqe']-----> Plugs: ['an', 'lz', 'my', 'dq', 'jo']  --> String: xotlaresmmlzngfalmmammegdwzkemfsenityoasswwvedadbyldenesinlprwvde
cipher -->  Rotor: 100200315 --> mqrftwilgesrwyabvukqfntqdfvfzhadwnczkgtwhagufvtmbkdwvphvayelnxlrp --> Plugs:['rs', 'ov', 'gi', 'de', 'jx'] --->  pesutwolidrswyaloulrfntieftfchauwngzkmtwhanuupkmbketophoauelfolap['1', '0', '2', '0', '3', '15', 'mqrftwilgesrwyabvukqfntqdfvfzhadwnczkgtwhagufvtmbkdwvphvayelnxlrp']-----> Plugs: ['rs', 'ov', 'gi', 'de', 'jx']  --> String: pesutwolidrswyaloulrfntieftfchauwngzkmtwhanuupkmbketophoauelfolap
cipher -->  Rotor: 100200316 --> cvoridrmqbanzlvdhftezplpdgitskrgcxyqchtbmclafyrufxrrmtyhecsfkaffz --> Plugs:['rn', 'vz', 'ku', 'ds', 'af'] --->  czouisarqbarvlvshaterlleapxwdnngcxyschthmildainnaxnnrtyhecsctxasr['1', '0', '2', '0', '3', '16', 'cvoridrmqbanzlvdhftezplpdgitskrgcxyqchtbmclafyrufxrrmtyhecsfkaffz']-----> Plugs: ['rn', 'vz', 'ku', 'ds', 'af']  --> String: czouisarqbarvlvshaterlleapxwdnngcxyschthmildainnaxnnrtyhecsctxasr
cipher -->  Rotor: 100200317 --> vohwonybxuigjwlyagrfcfukpenqgdwcivbdbeafkfdckfwxnwnsaicnlhqvimujs --> Plugs:['rn', 'ks', 'bt', 'df', 'gv'] --->  gchhorhtxurvjlleavndedunpanqvfwciotiteansyfeslwxrarkaicryhaarnsty['1', '0', '2', '0', '3', '17', 'vohwonybxuigjwlyagrfcfukpenqgdwcivbdbeafkfdckfwxnwnsaicnlhqvimujs']-----> Plugs: ['rn', 'ks', 'bt', 'df', 'gv']  --> String: gchhorhtxurvjlleavndedunpanqvfwciotiteansyfeslwxrarkaicryhaarnsty
cipher -->  Rotor: 100200318 --> zjslwhpdruqkghtqbvqkuawjdvklqfgkzmmtrftjtwycfudcvqhnwhvfrqvdwuvty --> Plugs:['an', 'iq', 'cv', 'lr', 'sw'] --->  zjidjnorlaikihtitlitunsndfsritrezmmeiftjvoyocqdipihashnxlickeucyy['1', '0', '2', '0', '3', '18', 'zjslwhpdruqkghtqbvqkuawjdvklqfgkzmmtrftjtwycfudcvqhnwhvfrqvdwuvty']-----> Plugs: ['an', 'iq', 'cv', 'lr', 'sw']  --> String: zjidjnorlaikihtitlitunsndfsritrezmmeiftjvoyocqdipihashnxlickeucyy
